Symbol,Price~,Type,Strike,Expires,DTE,"Bid x Size","Ask x Size",Trade,Size,Side,Premium,Volume,"Open Int",IV,Delta,Code,*,Time
LIN,514.16,Call,515,2026-07-17T16:30:00-05:00,29,"12.30 x 119","15.00 x 144",13.08,184,mid,240600,324,561,23.52%,0.51433281719812,SLAN,N/A,"15:42:45 ET"
LIN,515.97,Call,530,2026-08-21T16:30:00-05:00,64,"15.30 x 126","15.60 x 3",15.3,126,bid,192700,128,0,22.83%,0.42482992961037,AUTO,SellToOpen,"10:26:38 ET"
LIN,516.535,Call,545,2026-08-21T16:30:00-05:00,64,"10.50 x 1","10.60 x 132",10.6,132,ask,139900,133,0,23.93%,0.32864178332956,AUTO,BuyToOpen,"11:48:38 ET"
LIN,517.11,Put,520,2026-08-21T16:30:00-05:00,64,"20.00 x 41","20.30 x 1",20,41,bid,82000,44,0,23.08%,-0.4904888283,AUTO,SellToOpen,"10:31:38 ET"
LIN,517.26,Call,540,2026-12-18T16:30:00-06:00,183,"27.10 x 13","29.30 x 11",28.33,20,mid,56600,20,319,24.16%,0.4609106159535,SLAN,N/A,"10:07:58 ET"
LIN,516.32,Call,520,2026-09-18T16:30:00-05:00,92,"24.50 x 14","26.80 x 18",24.5,14,bid,34300,16,301,24.73%,0.52014236731714,ISOI,N/A,"10:11:16 ET"
LIN,514.1,Call,510,2026-06-18T16:30:00-05:00,0,"4.00 x 19","5.00 x 47",5,66,ask,33000,218,645,7.74%,0.97767011579428,AUTO,N/A,"15:08:00 ET"
LIN,517.11,Call,555,2027-01-15T16:30:00-06:00,211,"23.70 x 20","25.30 x 6",25.2,11,mid,27700,22,8,23.46%,0.40834725172286,SLAN,N/A,"10:34:18 ET"
LIN,517.09,Call,525,2026-07-17T16:30:00-05:00,29,"10.50 x 3","12.00 x 53",10.5,26,bid,27300,59,282,23.65%,0.43372958482544,AUTO,N/A,"11:00:47 ET"
LIN,515.97,Call,555,2026-07-17T16:30:00-05:00,29,"1.65 x 41","2.75 x 26",2.11,97,mid,20400,98,47,22.55%,0.13867612236234,SLAN,ToOpen,"10:25:58 ET"
LIN,517.78,Call,515,2026-07-17T16:30:00-05:00,29,"14.50 x 244","15.50 x 31",14.99,11,mid,16400,138,561,22.76%,0.55740260219311,MLET,N/A,"14:08:16 ET"
LIN,517.78,Call,515,2026-07-17T16:30:00-05:00,29,"14.50 x 244","15.50 x 31",14.74,11,mid,16200,138,561,22.76%,0.55740260219311,MLET,N/A,"14:08:16 ET"
LIN,515.97,Call,560,2026-07-17T16:30:00-05:00,29,"1.30 x 19","2.00 x 199",1.6,97,mid,15500,98,307,22.20%,0.10607718956635,SLAN,N/A,"10:25:58 ET"
LIN,516.46,Call,540,2026-07-17T16:30:00-05:00,29,"4.10 x 53","4.70 x 26",4.7,26,ask,12200,47,274,21.21%,0.24684105784408,ISOI,N/A,"11:54:00 ET"
LIN,518.085,Call,530,2026-07-17T16:30:00-05:00,29,"8.60 x 12","9.60 x 18",8.6,12,bid,10300,37,623,23.41%,0.38833256364366,ISOI,N/A,"10:56:05 ET"
LIN,517.78,Call,510,2026-06-18T16:30:00-05:00,0,"6.60 x 32","8.70 x 100",8.25,11,mid,9000,144,645,19.64%,0.93254944576597,MLET,N/A,"14:08:16 ET"
LIN,515.492,Put,495,2026-07-17T16:30:00-05:00,29,"4.60 x 24","5.10 x 13",5,18,mid,9000,38,217,22.54%,-0.2429254018,AUTO,N/A,"14:33:56 ET"
LIN,517.49,Call,545,2026-07-17T16:30:00-05:00,29,"3.80 x 110","4.20 x 97",3.91,22,mid,8600,66,124,22.07%,0.22018390381292,SLAN,N/A,"13:19:42 ET"
LIN,517.78,Call,510,2026-06-18T16:30:00-05:00,0,"6.60 x 32","8.70 x 100",7.77,11,mid,8500,144,645,19.64%,0.93254944576597,MLET,N/A,"14:08:16 ET"
LIN,516.46,Call,540,2026-07-17T16:30:00-05:00,29,"4.10 x 43","4.60 x 18",4.6,18,ask,8200,47,274,21.21%,0.24684105784408,AUTO,N/A,"11:53:57 ET"
LIN,517.71,Call,545,2026-07-17T16:30:00-05:00,29,"3.80 x 36","4.20 x 14",4,16,mid,6400,16,124,21.96%,0.22095891313066,AUTO,N/A,"13:16:34 ET"
LIN,515.492,Put,495,2026-07-17T16:30:00-05:00,29,"4.90 x 13","5.30 x 26",4.9,13,bid,6300,38,217,22.54%,-0.2429254018,AUTO,N/A,"14:30:44 ET"
"Downloaded from Barchart.com as of 06-22-2026 07:29am CDT"
