Strike,Puts - Max Pain,Calls - Max Pain,Max Pain
198,212354.0000,0.0000,212354.0000
200,192686.0000,4840.0000,197526.0000
202,176064.0000,13166.0000,189230.0000
204,160142.0000,24682.0000,184824.0000
205,152291.0000,31065.0000,183356.0000
206,144913.0000,38807.0000,183720.0000
208,130757.0000,58655.0000,189412.0000
210,116903.0000,82863.0000,199766.0000
212,104201.0000,107935.0000,212136.0000
214,92893.0000,133567.0000,226460.0000
215,87661.0000,146748.0000,234409.0000
216,82724.0000,160384.0000,243108.0000
218,73602.0000,189380.0000,262982.0000
220,65210.0000,219490.0000,284700.0000
222,57368.0000,251094.0000,308462.0000
224,49690.0000,284858.0000,334548.0000
225,45943.0000,302075.0000,348018.0000
226,42526.0000,319892.0000,362418.0000
228,36010.0000,356346.0000,392356.0000
230,29942.0000,393370.0000,423312.0000
232,25158.0000,431636.0000,456794.0000
234,20778.0000,470256.0000,491034.0000
235,18680.0000,489699.0000,508379.0000
236,16926.0000,509640.0000,526566.0000
238,13804.0000,550094.0000,563898.0000
240,10920.0000,591334.0000,602254.0000
242,9288.0000,633926.0000,643214.0000
244,7836.0000,677060.0000,684896.0000
246,6686.0000,720930.0000,727616.0000
248,5638.0000,765822.0000,771460.0000
250,4620.0000,811286.0000,815906.0000
255,3045.0000,928721.0000,931766.0000
260,1870.0000,1048291.0000,1050161.0000
265,1235.0000,1172341.0000,1173576.0000
270,710.0000,1299536.0000,1300246.0000
275,345.0000,1428216.0000,1428561.0000
280,30.0000,1558541.0000,1558571.0000
285,15.0000,1691101.0000,1691116.0000
290,0.0000,1824446.0000,1824446.0000
300,0.0000,2096506.0000,2096506.0000
Downloaded from Barchart.com as of 6/17/2026, 10:02:21 AM
