Symbol,Price~,Type,Strike,Expires,DTE,"Bid x Size","Ask x Size",Trade,Size,Side,Premium,Volume,"Open Int",IV,Delta,Code,*,Time,"Exp Type"
KLAC,241.06,Call,154,2026-06-18T16:30:00-05:00,2,"85.80 x 49","92.50 x 69",87.9,230,mid,2021700,533,680,425.76%,0.94277788899626,AUTO,N/A,"14:19:28 ET",M
KLAC,241.06,Call,225,2026-09-18T16:30:00-05:00,94,"43.30 x 7","44.00 x 300",44,300,ask,1320000,337,220,75.51%,0.64031165954584,AUTO,BuyToOpen,"14:18:31 ET",M
KLAC,241.06,Call,200,2026-06-18T16:30:00-05:00,2,"40.40 x 42","43.00 x 14",43,200,ask,860000,318,2033,160.47%,0.94851187675398,AUTO,N/A,"14:18:09 ET",M
KLAC,251.05,Call,180,2026-09-18T16:30:00-05:00,94,"78.80 x 34","85.30 x 32",82.21,100,mid,822100,100,839,85.28%,0.83362564083428,SLAN,N/A,"09:48:35 ET",M
KLAC,241.67,Call,154,2026-06-18T16:30:00-05:00,2,"88.50 x 90","92.60 x 57",88.5,90,bid,796500,303,680,414.30%,0.94757683048315,AUTO,N/A,"14:14:09 ET",M
KLAC,241.67,Call,154,2026-06-18T16:30:00-05:00,2,"86.40 x 19","92.60 x 52",88.5,90,mid,796500,303,680,414.30%,0.94757683048315,AUTO,N/A,"14:14:09 ET",M
KLAC,241.67,Call,220,2026-07-17T16:30:00-05:00,31,"31.10 x 46","33.70 x 34",32.22,220,mid,708800,235,882,73.94%,0.70512112804006,MLAT,N/A,"14:42:19 ET",M
KLAC,241.8,Call,225,2026-09-18T16:30:00-05:00,94,"43.50 x 8","44.00 x 69",44,138,ask,607200,560,220,75.89%,0.64335210112376,AUTO,N/A,"14:25:49 ET",M
KLAC,241.67,Call,154,2026-06-18T16:30:00-05:00,2,"86.40 x 34","92.60 x 54",88.5,66,mid,584100,303,680,414.30%,0.94757683048315,AUTO,N/A,"14:14:10 ET",M
KLAC,249,Call,148,2026-12-18T16:30:00-06:00,185,"109.70 x 100","120.10 x 64",114.39,49,mid,560500,100,380,93.25%,0.86003331552687,MLET,N/A,"11:04:48 ET",M
KLAC,251.69,Call,260,2027-01-15T16:30:00-06:00,213,"52.10 x 92","54.60 x 200",54.6,100,ask,546000,171,490,75.72%,0.58363196257652,AUTO,N/A,"10:51:21 ET",M
KLAC,248.765,Call,150,2026-12-18T16:30:00-06:00,185,"108.20 x 107","118.60 x 55",113.66,45,mid,511400,50,290,93.35%,0.85524227791779,MLET,N/A,"11:08:50 ET",M
KLAC,252.17,Put,248,2027-01-15T16:30:00-06:00,213,"46.80 x 20","50.00 x 100",50,100,ask,500000,100,8,69.76%,-0.3768249432,AUTO,BuyToOpen,"09:30:04 ET",M
KLAC,244.185,Call,260,2028-01-21T16:30:00-06:00,584,"79.70 x 223","87.30 x 20",84.35,59,mid,497600,122,121,77.63%,0.6397675380055,MLET,N/A,"11:43:37 ET",M
KLAC,244.185,Call,192,2027-01-15T16:30:00-06:00,213,"79.20 x 17","85.10 x 57",82.15,59,mid,484600,120,230,81.94%,0.74720553034597,MLET,N/A,"11:43:37 ET",M
KLAC,241.67,Call,154,2026-06-18T16:30:00-05:00,2,"86.40 x 23","92.60 x 71",88.5,54,mid,477900,303,680,414.30%,0.94757683048315,AUTO,N/A,"14:13:47 ET",M
KLAC,241.67,Call,240,2026-07-17T16:30:00-05:00,31,"20.20 x 38","21.40 x 11",20.9,220,mid,459800,247,800,71.60%,0.55332681849785,MLAT,N/A,"14:42:19 ET",M
KLAC,252,Call,250,2026-11-20T16:30:00-06:00,157,"48.50 x 24","51.10 x 3",50,80,mid,400000,80,48,77.00%,0.59919151654696,AUTO,ToOpen,"10:00:22 ET",M
KLAC,252.201,Call,260,2027-01-15T16:30:00-06:00,213,"52.10 x 95","57.20 x 78",54.65,70,mid,382500,71,490,77.07%,0.58733648321185,MLET,N/A,"10:45:55 ET",M
KLAC,252.201,Call,204,2026-06-18T16:30:00-05:00,2,"45.60 x 69","51.40 x 72",48.5,70,mid,339500,70,705,153.02%,0.97307533367116,MLET,N/A,"10:45:55 ET",M
KLAC,252.201,Call,280,2027-01-15T16:30:00-06:00,213,"44.50 x 67","48.00 x 8",46.25,70,mid,323700,70,360,74.84%,0.53316430615386,MLET,N/A,"10:46:07 ET",M
KLAC,249.49,Call,148,2026-12-18T16:30:00-06:00,185,"109.70 x 73","120.10 x 29",115.15,28,mid,322400,50,380,92.10%,0.86192649940481,MLET,N/A,"11:04:02 ET",M
KLAC,243.97,Put,265,2026-07-17T16:30:00-05:00,31,"29.50 x 41","32.00 x 100",32,100,ask,320000,101,5,64.32%,-0.6344873365,AUTO,BuyToOpen,"12:31:09 ET",M
