Symbol,Price~,Type,Strike,Expires,DTE,"Bid x Size","Ask x Size",Trade,Size,Side,Premium,Volume,"Open Int",IV,Delta,Code,*,Time
KLAC,257.99,Call,186,2026-06-18T16:30:00-05:00,0,"69.10 x 207","75.20 x 108",72.15,1650,mid,11904700,1870,2345,287.34%,0.98823575147744,MLAT,N/A,"14:28:12 ET"
KLAC,257.99,Call,206,2026-06-18T16:30:00-05:00,0,"49.10 x 182","55.20 x 122",52.15,1650,mid,8604700,1783,2182,206.77%,0.98412273399122,MLAT,N/A,"14:28:12 ET"
KLAC,259.21,Call,186,2026-06-18T16:30:00-05:00,0,"69.10 x 203","75.20 x 68",73.86,200,mid,1477200,220,2345,363.19%,0.96801486692176,SLAN,N/A,"13:37:03 ET"
KLAC,255.88,Call,310,2027-01-15T16:30:00-06:00,211,"39.40 x 240","39.60 x 2",39.4,358,bid,1410500,432,43,74.17%,0.47007631140373,AUTO,SellToOpen,"09:53:44 ET"
KLAC,262.88,Call,205,2026-06-18T16:30:00-05:00,0,"56.00 x 20","56.00 x 248",56,248,ask,1388800,270,1344,0.00%,0,AUTO,N/A,"15:35:42 ET"
KLAC,259.6,Call,300,2026-08-21T16:30:00-05:00,64,"18.70 x 1","19.60 x 8",18.7,670,bid,1252900,1457,256,77.18%,0.38593713959485,SLFT,N/A,"13:56:45 ET"
KLAC,255.88,Call,290,2027-01-15T16:30:00-06:00,211,"45.00 x 100","45.10 x 85",45,254,bid,1143000,403,428,75.61%,0.52045435365382,AUTO,N/A,"09:53:44 ET"
KLAC,259.24,Call,150,2026-06-18T16:30:00-05:00,0,"102.00 x 195","111.80 x 81",106.72,100,mid,1067200,110,1040,0.00%,0,MLAT,N/A,"13:44:22 ET"
KLAC,259.24,Call,152,2026-06-18T16:30:00-05:00,0,"100.10 x 210","108.90 x 36",104.66,100,mid,1046600,100,400,0.00%,0,MLAT,N/A,"13:44:22 ET"
KLAC,259.08,Put,250,2027-01-15T16:30:00-06:00,211,"47.50 x 34","50.00 x 75",48.5,200,mid,970000,200,6,71.04%,-0.3623742156,MLFT,ToOpen,"14:39:12 ET"
KLAC,258.83,Call,200,2027-01-15T16:30:00-06:00,211,"86.60 x 86","91.90 x 102",89.25,100,mid,892500,120,840,82.54%,0.75668394537484,MLFT,N/A,"14:37:35 ET"
KLAC,259.755,Call,206,2026-06-18T16:30:00-05:00,0,"48.80 x 183","55.20 x 74",53.43,130,mid,694500,133,2182,0.00%,0,TLAT,N/A,"12:36:16 ET"
KLAC,254.13,Call,198,2026-06-18T16:30:00-05:00,0,"53.80 x 172","61.00 x 62",58.77,110,mid,646400,118,2420,331.85%,0.93739381608673,MLAT,N/A,"10:36:07 ET"
KLAC,258.83,Call,250,2027-01-15T16:30:00-06:00,211,"61.20 x 59","64.00 x 44",62.6,100,mid,626000,140,1193,77.49%,0.62981811431679,MLFT,N/A,"14:37:35 ET"
KLAC,254.13,Call,204,2026-06-18T16:30:00-05:00,0,"50.60 x 50","55.00 x 64",52.77,110,mid,580400,160,625,264.09%,0.95248098173074,MLAT,N/A,"10:36:07 ET"
KLAC,259.58,Call,300,2026-08-21T16:30:00-05:00,64,"18.30 x 2","19.40 x 5",18.8,300,mid,564000,787,256,76.84%,0.38481045879543,AUTO,N/A,"13:16:42 ET"
KLAC,259.15,Call,160,2026-08-21T16:30:00-05:00,64,"98.50 x 182","104.80 x 40",101.77,50,mid,508800,50,100,84.53%,0.93616160246143,MLFT,N/A,"12:55:59 ET"
KLAC,259.08,Put,162,2027-01-15T16:30:00-06:00,211,"10.80 x 582","13.40 x 40",12.4,400,mid,496000,400,1060,73.18%,-0.1281618234,MLFT,N/A,"14:39:12 ET"
KLAC,260.85,Put,168,2027-01-15T16:30:00-06:00,211,"14.60 x 330","15.70 x 178",14.6,330,bid,481800,330,1181,75.36%,-0.1428246659,AUTO,N/A,"15:03:20 ET"
KLAC,254.09,Call,186,2027-01-15T16:30:00-06:00,211,"91.50 x 14","98.80 x 63",94.73,50,mid,473600,50,290,82.92%,0.78169230305154,MLET,N/A,"10:28:40 ET"
KLAC,259.15,Call,176,2026-08-21T16:30:00-05:00,64,"84.40 x 175","91.40 x 38",87.77,50,mid,438800,50,118,83.81%,0.8969316877501,MLFT,N/A,"12:55:59 ET"
KLAC,256.5,Call,280,2026-07-17T16:30:00-05:00,29,"11.60 x 79","13.90 x 47",13.9,299,ask,415600,377,1495,76.59%,0.38204176836966,AUTO,N/A,"10:03:04 ET"
KLAC,257.16,Call,250,2027-06-17T16:30:00-05:00,364,"71.80 x 98","82.90 x 63",77.43,53,mid,410300,120,89,76.70%,0.64779482021959,MLET,N/A,"10:09:27 ET"
KLAC,256.23,Call,240,2027-01-15T16:30:00-06:00,211,"62.00 x 119","69.20 x 134",66.41,60,mid,398400,60,416,78.30%,0.64945598307701,MLET,N/A,"10:16:01 ET"
KLAC,259.31,Call,198,2026-06-18T16:30:00-05:00,0,"58.50 x 105","66.30 x 61",62.4,60,mid,374400,210,2420,339.54%,0.94704003820391,MLAT,N/A,"15:59:06 ET"
KLAC,254.09,Call,225,2026-12-18T16:30:00-06:00,183,"65.90 x 22","73.00 x 61",69.73,50,mid,348600,50,17,80.07%,0.68287216662111,MLET,ToOpen,"10:28:40 ET"
KLAC,259.31,Call,208,2026-06-18T16:30:00-05:00,0,"47.60 x 107","56.30 x 65",52.4,60,mid,314400,60,2180,257.42%,0.95680658598376,MLAT,N/A,"15:59:06 ET"
KLAC,256.23,Call,270,2027-01-15T16:30:00-06:00,211,"49.00 x 114","56.60 x 112",51.97,60,mid,311800,85,765,76.49%,0.57164476908116,MLET,N/A,"10:16:01 ET"
KLAC,255.88,Call,210,2027-01-15T16:30:00-06:00,211,"78.50 x 9","81.00 x 1476",81,38,ask,307800,50,292,79.60%,0.72623508167091,AUTO,N/A,"09:54:14 ET"
KLAC,253.265,Put,170,2027-01-15T16:30:00-06:00,211,"13.20 x 695","15.20 x 200",15.2,200,ask,304000,200,131,72.84%,-0.1563163351,AUTO,BuyToOpen,"10:40:43 ET"
KLAC,261.31,Call,260,2027-01-15T16:30:00-06:00,211,"60.60 x 12","60.60 x 36",60.6,50,ask,303000,124,390,77.23%,0.6106945360953,AUTO,N/A,"15:29:04 ET"
KLAC,255.88,Call,290,2027-01-15T16:30:00-06:00,211,"45.10 x 80","45.30 x 2",45.1,67,bid,302100,403,428,75.61%,0.52045435365382,ISOI,N/A,"09:53:44 ET"
KLAC,254.995,Call,180,2026-12-18T16:30:00-06:00,183,"91.80 x 12","98.30 x 61",95.11,30,mid,285300,30,134,83.33%,0.80410265052544,MLET,N/A,"11:03:31 ET"
KLAC,256.245,Call,180,2026-08-21T16:30:00-05:00,64,"77.50 x 262","84.50 x 78",81.1,35,mid,283800,40,150,78.53%,0.88967146472455,MLAT,N/A,"11:29:07 ET"
KLAC,257.16,Call,250,2027-06-17T16:30:00-05:00,364,"71.80 x 98","82.90 x 63",77.42,36,mid,278700,120,89,76.70%,0.64779482021959,MLET,N/A,"10:09:27 ET"
KLAC,254.995,Call,184,2026-12-18T16:30:00-06:00,183,"89.20 x 103","95.60 x 59",92.39,30,mid,277100,30,60,82.85%,0.79420620991131,MLET,N/A,"11:03:31 ET"
KLAC,256.5,Call,220,2026-07-17T16:30:00-05:00,29,"45.10 x 80","46.40 x 97",45.1,61,bid,275100,118,800,80.98%,0.78290853850359,AUTO,N/A,"10:03:52 ET"
KLAC,256.245,Call,180,2026-07-17T16:30:00-05:00,29,"73.70 x 323","80.20 x 81",76.84,35,mid,268900,40,334,74.69%,0.96208967538067,MLAT,N/A,"11:29:07 ET"
KLAC,256.23,Put,240,2027-01-15T16:30:00-06:00,211,"41.20 x 148","46.70 x 158",44.78,60,mid,268600,60,37,70.72%,-0.3422093396,MLET,ToOpen,"10:16:01 ET"
KLAC,258.06,Call,185,2026-06-18T16:30:00-05:00,0,"70.00 x 215","76.40 x 64",73.02,36,mid,262800,60,480,286.59%,0.98950861321403,MLET,N/A,"13:33:12 ET"
KLAC,254.13,Call,204,2026-06-18T16:30:00-05:00,0,"50.60 x 50","55.00 x 79",50.6,50,bid,253000,160,625,264.09%,0.95248098173074,AUTO,N/A,"10:38:14 ET"
KLAC,257.16,Call,350,2027-06-17T16:30:00-05:00,364,"41.40 x 124","52.50 x 3",46.88,53,mid,248400,119,1,73.96%,0.46907178922308,MLET,N/A,"10:09:27 ET"
KLAC,258.06,Call,205,2026-09-18T16:30:00-05:00,92,"65.50 x 322","71.50 x 66",68.67,36,mid,247200,50,120,79.33%,0.77737799969969,MLET,N/A,"13:33:12 ET"
KLAC,254.29,Call,250,2027-01-15T16:30:00-06:00,211,"57.20 x 156","60.00 x 120",60,40,ask,240000,40,1193,78.71%,0.61984472626874,AUTO,N/A,"10:52:51 ET"
KLAC,261.31,Call,260,2027-01-15T16:30:00-06:00,211,"60.10 x 2","61.50 x 19",60.5,38,mid,229900,124,390,77.23%,0.6106945360953,AUTO,N/A,"15:27:58 ET"
KLAC,254.09,Call,180,2027-06-17T16:30:00-05:00,364,"104.60 x 179","116.50 x 127",110.55,20,mid,221100,20,70,84.18%,0.78089632432782,MLET,N/A,"10:30:23 ET"
KLAC,261.31,Call,300,2027-01-15T16:30:00-06:00,211,"43.80 x 963","46.60 x 22",43.8,50,bid,219000,69,188,75.46%,0.51162780167169,AUTO,N/A,"15:27:57 ET"
KLAC,253.265,Call,280,2026-12-18T16:30:00-06:00,183,"42.60 x 23","43.70 x 49",43.7,49,ask,214100,50,154,76.01%,0.52638901991358,AUTO,N/A,"10:45:16 ET"
KLAC,260.63,Call,238,2028-01-21T16:30:00-06:00,582,"106.20 x 20","108.00 x 10",106.2,20,bid,212400,40,33,78.02%,0.69660968239903,AUTO,N/A,"15:49:17 ET"
KLAC,256.23,Call,214,2026-06-18T16:30:00-05:00,0,"44.00 x 48","44.00 x 190",44,48,ask,211200,52,365,280.36%,0.90471812683101,AUTO,N/A,"10:18:52 ET"
KLAC,255.925,Put,390,2027-06-17T16:30:00-05:00,364,"161.60 x 13","168.80 x 76",161.6,13,bid,210000,13,0,66.12%,-0.6151148264,AUTO,SellToOpen,"11:32:54 ET"
KLAC,254.09,Call,250,2026-09-18T16:30:00-05:00,92,"40.90 x 6","41.70 x 97",41.7,50,ask,208500,158,710,77.73%,0.58980531988042,AUTO,N/A,"10:26:26 ET"
KLAC,262.88,Call,390,2027-06-17T16:30:00-05:00,364,"43.00 x 1","48.10 x 72",43.1,48,mid,206800,53,59,75.39%,0.4310524148571,ISOI,N/A,"15:38:43 ET"
KLAC,254.09,Call,250,2028-01-21T16:30:00-06:00,582,"88.00 x 304","101.90 x 141",95.95,20,mid,191900,20,1202,79.38%,0.6729141939052,MLET,N/A,"10:30:23 ET"
KLAC,261.31,Call,320,2027-01-15T16:30:00-06:00,211,"37.60 x 1260","40.40 x 48",37.6,50,bid,188000,85,54,74.58%,0.46436574025363,AUTO,N/A,"15:30:19 ET"
KLAC,259.59,Call,300,2026-08-21T16:30:00-05:00,64,"18.40 x 4","19.10 x 97",19.15,97,ask,185700,484,256,76.83%,0.38482814945328,AUTO,N/A,"12:50:06 ET"
KLAC,260.63,Call,200,2026-06-18T16:30:00-05:00,0,"63.70 x 27","65.50 x 69",63.7,27,bid,171900,81,1733,228.83%,0.9888469861171,AUTO,N/A,"15:48:42 ET"
KLAC,259.68,Call,300,2026-08-21T16:30:00-05:00,64,"18.50 x 1","19.10 x 267",19.1,89,ask,169900,382,256,76.38%,0.38388917871393,AUTO,N/A,"12:28:26 ET"
KLAC,257.16,Call,350,2027-06-17T16:30:00-05:00,364,"41.40 x 124","52.50 x 3",46.92,36,mid,168900,119,1,73.96%,0.46907178922308,MLET,N/A,"10:09:27 ET"
KLAC,256.5,Call,220,2026-07-17T16:30:00-05:00,29,"44.80 x 18","46.40 x 55",44.8,37,bid,165700,118,800,80.98%,0.78290853850359,AUTO,N/A,"10:04:32 ET"
KLAC,254.995,Call,178,2026-06-18T16:30:00-05:00,0,"73.00 x 209","76.40 x 20",76.4,20,ask,152800,20,792,0.00%,0,AUTO,N/A,"11:02:03 ET"
KLAC,254.29,Put,170,2027-01-15T16:30:00-06:00,211,"13.30 x 615","17.10 x 323",15.2,100,mid,152000,300,131,73.20%,-0.1550816934,AUTO,N/A,"10:52:24 ET"
KLAC,261.32,Call,190,2026-06-18T16:30:00-05:00,0,"67.30 x 196","75.20 x 91",71.25,20,mid,142500,31,1805,0.00%,0,MLAT,N/A,"15:10:03 ET"
KLAC,256.23,Call,188,2026-06-18T16:30:00-05:00,0,"66.20 x 163","70.00 x 30",68.64,20,mid,137200,20,1180,316.17%,0.97535527239548,SLAN,N/A,"10:20:05 ET"
KLAC,257.16,Call,250,2027-06-17T16:30:00-05:00,364,"71.80 x 123","82.90 x 38",77.42,17,mid,131600,120,89,76.70%,0.64779482021959,MLET,N/A,"10:09:27 ET"
KLAC,261.32,Call,198,2026-06-18T16:30:00-05:00,0,"61.50 x 142","65.00 x 37",63.25,20,mid,126500,140,2420,0.00%,0,MLAT,N/A,"15:10:03 ET"
KLAC,252.98,Call,220,2026-06-18T16:30:00-05:00,0,"30.00 x 112","36.00 x 16",33,37,mid,122100,50,727,105.03%,0.99515063192,AUTO,N/A,"09:32:41 ET"
KLAC,255.661,Call,380,2027-01-15T16:30:00-06:00,211,"20.10 x 203","25.30 x 31",23.51,50,mid,117500,50,312,72.23%,0.3227226826957,SLAN,N/A,"09:55:51 ET"
KLAC,259.68,Call,300,2026-08-21T16:30:00-05:00,64,"19.00 x 39","19.10 x 36",19,61,bid,115900,382,256,76.38%,0.38388917871393,AUTO,N/A,"12:29:50 ET"
KLAC,259.35,Put,156,2027-01-15T16:30:00-06:00,211,"9.60 x 738","13.10 x 284",11.4,100,mid,114000,100,471,75.25%,-0.1175570232,AUTO,N/A,"13:40:52 ET"
KLAC,253.27,Call,250,2026-09-18T16:30:00-05:00,92,"34.40 x 232","36.70 x 30",36.7,30,ask,110100,40,710,76.27%,0.58541053931832,AUTO,N/A,"09:36:45 ET"
KLAC,254.94,Put,152,2027-01-15T16:30:00-06:00,211,"11.00 x 100","11.00 x 14",11,100,ask,110000,100,1555,75.49%,-0.1150015355,AUTO,N/A,"10:56:31 ET"
KLAC,256.23,Put,225,2027-01-15T16:30:00-06:00,211,"32.10 x 346","39.70 x 289",36.38,30,mid,109100,30,220,70.47%,-0.2995066229,MLET,N/A,"10:20:15 ET"
KLAC,256.23,Call,320,2027-01-15T16:30:00-06:00,211,"32.90 x 199","38.80 x 99",35.38,30,mid,106100,30,54,73.55%,0.44670473005032,MLET,N/A,"10:20:15 ET"
KLAC,255.661,Call,250,2026-09-18T16:30:00-05:00,92,"40.60 x 25","42.90 x 56",40.6,25,bid,101500,100,710,75.32%,0.59434738938354,AUTO,N/A,"09:58:54 ET"
KLAC,259.24,Call,230,2026-06-18T16:30:00-05:00,0,"27.30 x 110","30.60 x 73",28.84,35,mid,100900,40,610,0.00%,0,SLAN,N/A,"12:15:26 ET"
KLAC,254.29,Put,148,2027-01-15T16:30:00-06:00,211,"9.50 x 9","10.00 x 100",10,100,ask,100000,100,581,75.37%,-0.1068880571,AUTO,N/A,"10:55:01 ET"
KLAC,258.6325,Call,185,2026-06-18T16:30:00-05:00,0,"67.80 x 150","73.80 x 24",70.83,14,mid,99100,14,480,0.00%,0,MLET,N/A,"11:49:44 ET"
KLAC,261.5,Call,270,2026-07-17T16:30:00-05:00,29,"18.60 x 5","19.20 x 15",18.8,50,mid,94000,108,547,76.38%,0.48281826225406,SLAN,N/A,"15:15:58 ET"
KLAC,261.56,Call,270,2026-07-17T16:30:00-05:00,29,"18.70 x 12","18.80 x 50",18.8,50,ask,94000,221,547,77.13%,0.48423720185892,AUTO,N/A,"15:19:38 ET"
KLAC,260.63,Call,226,2026-06-18T16:30:00-05:00,0,"35.70 x 65","37.60 x 25",37.5,25,mid,93700,300,410,222.63%,0.90148274610475,AUTO,N/A,"15:49:33 ET"
KLAC,259.7,Call,220,2026-07-17T16:30:00-05:00,29,"46.70 x 20","48.00 x 44",46.7,20,bid,93400,182,800,79.32%,0.80206615538184,AUTO,N/A,"13:11:42 ET"
KLAC,258.6325,Call,205,2026-09-18T16:30:00-05:00,92,"63.50 x 201","69.50 x 18",66.48,14,mid,93000,14,120,75.07%,0.78563907154575,MLET,N/A,"11:49:44 ET"
KLAC,254.94,Call,320,2026-09-18T16:30:00-05:00,92,"17.00 x 122","18.60 x 2",18.6,50,ask,93000,50,3297,75.12%,0.33713852868907,AUTO,N/A,"10:59:06 ET"
