Symbol,Price~,Type,Strike,Expires,DTE,"Bid x Size","Ask x Size",Trade,Size,Side,Premium,Volume,"Open Int",IV,Delta,Code,*,Time
MU,1124.4,Put,990,2026-08-21T16:30:00-05:00,64,"113.45 x 45","115.75 x 66",115.74,2900,mid,33564600,6433,170,100.39%,-0.2995998116,SLCN,N/A,"10:44:04 ET"
MU,1098.7802,Put,990,2026-08-21T16:30:00-05:00,64,"115.30 x 29","119.60 x 108",119,2000,mid,23800000,2001,170,98.74%,-0.3186771699,TLCT,ToOpen,"09:51:15 ET"
MU,1101.1401,Put,880,2026-07-17T16:30:00-05:00,29,"38.00 x 46","39.30 x 47",38.9,5500,mid,21395000,5514,2069,106.77%,-0.1830570721,TLCT,ToOpen,"09:45:05 ET"
MU,1124.4,Put,990,2026-08-21T16:30:00-05:00,64,"112.45 x 145","115.55 x 121",115.74,1500,ask,17361000,6433,170,100.39%,-0.2995998116,TLFT,N/A,"10:44:51 ET"
MU,1121.24,Call,935,2026-06-18T16:30:00-05:00,0,"181.30 x 61","186.80 x 28",185.05,609,mid,11269500,698,923,0.00%,0,MLAT,N/A,"11:38:28 ET"
MU,1107.8101,Call,850,2026-06-18T16:30:00-05:00,0,"246.45 x 44","254.65 x 66",251.46,398,mid,10008100,431,3503,0.00%,0,MLET,N/A,"09:55:33 ET"
MU,1121.24,Call,965,2026-06-18T16:30:00-05:00,0,"152.25 x 69","159.60 x 103",155.08,609,mid,9444300,660,774,0.00%,0,MLAT,N/A,"11:38:28 ET"
MU,1107.076,Call,1050,2026-07-17T16:30:00-05:00,29,"159.25 x 47","159.30 x 77",159.3,533,ask,8490600,836,2006,105.15%,0.63168663711494,AUTO,N/A,"10:03:47 ET"
MU,1110.5699,Put,900,2026-06-26T16:30:00-05:00,8,"15.00 x 1794","15.20 x 10",15,4994,bid,7491000,5979,9715,134.60%,-0.1233701896,AUTO,N/A,"09:49:34 ET"
MU,1101.1401,Call,920,2026-06-18T16:30:00-05:00,0,"179.65 x 2","189.70 x 6",184.55,398,mid,7345000,443,2173,227.54%,0.94295857671749,MLET,N/A,"09:43:39 ET"
MU,1125.215,Put,1000,2026-07-02T16:30:00-05:00,14,"43.65 x 1","44.45 x 80",44.45,1505,ask,6689700,18806,825,113.63%,-0.2588757448,AUTO,N/A,"12:19:42 ET"
MU,1110.79,Call,1120,2026-07-17T16:30:00-05:00,29,"128.20 x 47","130.90 x 23",130.95,475,ask,6220100,847,427,104.64%,0.5513355333753,AUTO,N/A,"10:11:52 ET"
MU,1128.9,Put,1100,2026-06-26T16:30:00-05:00,8,"69.95 x 1","71.50 x 76",69.6,868,bid,6041200,4214,444,124.98%,-0.406634116,AUTO,N/A,"10:54:43 ET"
MU,1125.215,Put,1000,2026-07-02T16:30:00-05:00,14,"43.40 x 1","45.30 x 3",43.65,1371,mid,5984400,18806,825,113.63%,-0.2588757448,AUTO,N/A,"12:19:48 ET"
MU,1131.0299,Put,550,2026-12-18T16:30:00-06:00,183,"38.50 x 70","39.20 x 8",39.1,1440,mid,5630400,20497,15279,98.28%,-0.0795817101,MFSL,N/A,"11:15:41 ET"
MU,1115.9351,Call,1100,2026-07-17T16:30:00-05:00,29,"140.00 x 181","141.95 x 17",140,400,bid,5600000,2035,8086,104.37%,0.5814417288571,AUTO,N/A,"10:17:34 ET"
MU,1127.67,Put,550,2026-12-18T16:30:00-06:00,183,"38.20 x 75","38.95 x 44",38.71,1440,mid,5574200,16893,15279,98.08%,-0.0799969521,MFSL,N/A,"11:14:25 ET"
MU,1125,Put,1000,2026-06-26T16:30:00-05:00,8,"29.80 x 65","30.65 x 4",30.7,1738,ask,5335600,19069,4521,124.89%,-0.231691166,AUTO,N/A,"11:32:59 ET"
MU,1123.8199,Put,1100,2026-06-26T16:30:00-05:00,8,"67.50 x 58","69.25 x 1",69.3,685,ask,4747000,8478,444,125.26%,-0.4161531554,AUTO,N/A,"12:16:50 ET"
MU,1129.8138,Put,620,2026-07-17T16:30:00-05:00,29,"6.30 x 78","6.75 x 22",6.7,7000,mid,4690000,8043,3330,130.73%,-0.0343914571,SLCN,ToOpen,"13:15:43 ET"
MU,1139.47,Put,630,2026-07-17T16:30:00-05:00,29,"6.55 x 72","7.35 x 81",7.25,6000,mid,4350000,6096,756,130.71%,-0.0359473049,SLCN,ToOpen,"15:13:35 ET"
MU,1098.589,Call,1100,2026-07-17T16:30:00-05:00,29,"125.05 x 78","128.25 x 20",126.65,331,mid,4192100,1339,8086,103.74%,0.56019637206258,MLAT,N/A,"09:37:52 ET"
MU,1104.17,Put,550,2026-12-18T16:30:00-06:00,183,"41.00 x 260","41.20 x 42",41,990,bid,4059000,1984,15279,96.49%,-0.0828696463,AUTO,N/A,"09:30:07 ET"
MU,1098.589,Call,1100,2026-07-17T16:30:00-05:00,29,"131.10 x 66","135.75 x 88",133.43,300,mid,4002900,1339,8086,103.74%,0.56019637206258,MLET,N/A,"09:35:19 ET"
MU,1104.17,Put,550,2026-12-18T16:30:00-06:00,183,"37.85 x 3","40.80 x 1",40.5,960,mid,3888000,1984,15279,96.49%,-0.0828696463,AUTO,N/A,"09:30:07 ET"
MU,1104.87,Call,1250,2026-06-26T16:30:00-05:00,8,"38.40 x 60","40.70 x 71",39.56,961,mid,3801700,1037,2681,135.00%,0.30370319327557,MLET,N/A,"09:32:35 ET"
MU,1131.0299,Put,1000,2026-07-02T16:30:00-05:00,14,"42.90 x 1","43.50 x 2",42.2,900,bid,3798000,3873,825,113.72%,-0.2515357895,MFSL,N/A,"11:15:41 ET"
MU,1131.0299,Put,550,2026-12-18T16:30:00-06:00,183,"38.50 x 70","39.20 x 8",39.1,960,mid,3753600,20497,15279,98.28%,-0.0795817101,MFSL,N/A,"11:15:41 ET"
MU,1127.67,Put,1000,2026-07-02T16:30:00-05:00,14,"42.55 x 1","43.95 x 87",41.36,900,bid,3722400,2878,825,112.94%,-0.2548537835,MFSL,N/A,"11:14:25 ET"
MU,1127.67,Put,550,2026-12-18T16:30:00-06:00,183,"38.20 x 75","38.95 x 44",38.71,960,mid,3716100,16893,15279,98.08%,-0.0799969521,MFSL,N/A,"11:14:25 ET"
MU,1129.8149,Put,1000,2026-07-02T16:30:00-05:00,14,"41.60 x 78","42.75 x 3",42.8,856,ask,3663600,14660,825,113.25%,-0.2524918223,AUTO,N/A,"12:11:14 ET"
MU,1128.9,Put,1100,2026-06-26T16:30:00-05:00,8,"69.30 x 90","71.05 x 74",69.3,526,bid,3645100,4214,444,124.98%,-0.406634116,AUTO,N/A,"10:55:03 ET"
MU,1128.48,Put,1000,2026-07-02T16:30:00-05:00,14,"41.25 x 171","42.20 x 16",41.33,808,mid,3339400,11876,825,112.10%,-0.2527511807,SLAN,N/A,"11:24:54 ET"
MU,1104.87,Call,1350,2026-07-02T16:30:00-05:00,14,"32.65 x 5","34.95 x 14",33.8,961,mid,3248100,997,315,122.71%,0.23945764717882,MLET,ToOpen,"09:32:35 ET"
MU,1128.9,Put,1100,2026-06-26T16:30:00-05:00,8,"67.60 x 4","67.95 x 478",67.95,478,ask,3248000,4214,444,124.98%,-0.406634116,AUTO,N/A,"10:55:11 ET"
MU,1128.48,Put,1000,2026-07-02T16:30:00-05:00,14,"41.05 x 78","43.20 x 64",41.05,785,bid,3222400,11876,825,112.10%,-0.2527511807,AUTO,N/A,"11:24:12 ET"
MU,1149.12,Call,1065,2026-06-18T16:30:00-05:00,0,"78.05 x 149","84.40 x 75",80.5,400,mid,3220000,869,928,0.00%,0,AUTO,N/A,"15:46:19 ET"
MU,1098.589,Call,1200,2026-07-17T16:30:00-05:00,29,"88.20 x 23","91.10 x 54",89.65,331,mid,2967400,1308,5707,104.48%,0.44313425543015,MLAT,N/A,"09:37:52 ET"
MU,1098.589,Call,1200,2026-07-17T16:30:00-05:00,29,"93.45 x 22","96.60 x 80",95.02,300,mid,2850600,1308,5707,104.48%,0.44313425543015,MLET,N/A,"09:35:19 ET"
MU,1130.37,Call,1050,2026-06-18T16:30:00-05:00,0,"78.50 x 94","81.25 x 40",79.8,356,mid,2840800,2546,5502,84.31%,0.95615726333357,AUTO,N/A,"12:43:20 ET"
MU,1131.53,Put,550,2026-12-18T16:30:00-06:00,183,"38.20 x 26","39.10 x 3",39.15,705,ask,2760000,14076,15279,98.42%,-0.0796368205,AUTO,N/A,"11:09:17 ET"
MU,1130.8,Call,1200,2026-06-26T16:30:00-05:00,8,"55.60 x 2","56.85 x 65",56.9,470,ask,2674300,4471,5403,125.91%,0.4124322679431,AUTO,N/A,"11:05:12 ET"
MU,1125,Put,1000,2026-07-02T16:30:00-05:00,14,"42.25 x 72","43.20 x 1",42.5,598,mid,2541500,13436,825,113.31%,-0.2587620411,SLAN,N/A,"11:31:55 ET"
MU,1125,Put,1000,2026-06-26T16:30:00-05:00,8,"30.45 x 84","30.50 x 3020",30.5,814,ask,2482700,19069,4521,124.89%,-0.231691166,AUTO,N/A,"11:32:52 ET"
MU,1128.08,Put,1000,2026-06-26T16:30:00-05:00,8,"29.80 x 1","30.40 x 55",30.4,790,ask,2401600,15049,4521,125.25%,-0.2276946834,AUTO,N/A,"11:27:36 ET"
MU,1115.9351,Call,1350,2026-07-02T16:30:00-05:00,14,"33.80 x 56","35.30 x 53",34.28,700,mid,2399600,3195,315,118.70%,0.24287396711074,MLET,N/A,"10:18:51 ET"
MU,1131.53,Put,550,2026-12-18T16:30:00-06:00,183,"38.70 x 33","39.45 x 902",39.45,579,ask,2284100,14076,15279,98.42%,-0.0796368205,AUTO,N/A,"11:10:13 ET"
MU,1104.87,Put,550,2026-12-18T16:30:00-06:00,183,"37.30 x 108","40.20 x 359",39.88,556,mid,2217300,4214,15279,96.47%,-0.0827118969,SLAN,N/A,"09:33:24 ET"
MU,1110.5699,Put,1000,2026-06-26T16:30:00-05:00,8,"37.35 x 3","38.55 x 76",37.25,575,bid,2141800,7081,4521,129.94%,-0.25947309,AUTO,N/A,"09:46:01 ET"
MU,1125.215,Put,1000,2026-07-02T16:30:00-05:00,14,"44.55 x 5","45.95 x 66",44.45,481,bid,2138000,18806,825,113.63%,-0.2588757448,AUTO,N/A,"12:19:41 ET"
MU,1098.589,Put,550,2026-12-18T16:30:00-06:00,183,"40.05 x 14","41.05 x 42",40,500,bid,2000000,5246,15279,97.14%,-0.0847319706,AUTO,N/A,"09:35:03 ET"
MU,1101.1401,Put,550,2026-12-18T16:30:00-06:00,183,"39.90 x 421","40.40 x 1",39.9,500,bid,1995000,6761,15279,96.99%,-0.0840397027,AUTO,N/A,"09:40:46 ET"
MU,1110.5699,Put,550,2026-12-18T16:30:00-06:00,183,"39.80 x 500","39.80 x 45",39.8,500,ask,1990000,9266,15279,97.83%,-0.083058937,AUTO,N/A,"09:50:06 ET"
MU,1101.1401,Put,1000,2026-06-26T16:30:00-05:00,8,"38.00 x 31","38.05 x 459",38.05,516,ask,1963300,3873,4521,128.12%,-0.2721020206,AUTO,N/A,"09:45:21 ET"
