Symbol,Price~,Type,Strike,Expires,DTE,"Bid x Size","Ask x Size",Trade,Size,Side,Premium,Volume,"Open Int",IV,Delta,Code,*,Time,"Exp Type"
NOK,13.94,Put,17,2026-07-17T16:30:00-05:00,31,"3.35 x 5","3.45 x 35",3.45,7608,ask,2624700,10007,10509,78.02%,-0.7753568319,AUTO,N/A,"11:22:27 ET",M
NOK,13.95,Put,15,2026-07-17T16:30:00-05:00,31,"1.86 x 48","1.93 x 3010",1.93,8428,ask,1626600,10083,15184,78.98%,-0.5763243827,AUTO,N/A,"11:26:57 ET",M
NOK,14.485,Call,32,2027-12-17T16:30:00-06:00,549,"2.72 x 122","2.96 x 590",2.72,4125,bid,1122000,4172,319,83.86%,0.41034190623884,AUTO,SellToOpen,"09:59:42 ET",M
NOK,14.37,Call,20,2028-01-21T16:30:00-06:00,584,"4.30 x 16","4.50 x 825",4.4,2500,mid,1100000,2568,24132,81.57%,0.58735739113178,AUTO,N/A,"09:39:04 ET",M
NOK,13.805,Put,13,2026-08-21T16:30:00-05:00,66,"1.39 x 2","1.42 x 512",1.39,6000,bid,834000,6045,3589,79.77%,-0.3595392432,SLCN,SellToOpen,"13:17:58 ET",M
NOK,13.81,Call,18,2026-09-18T16:30:00-05:00,94,"1.07 x 175","1.12 x 217",1.1,5000,mid,550000,7237,31483,83.64%,0.34545209341363,MLET,N/A,"12:54:14 ET",M
NOK,13.951,Put,16,2026-07-17T16:30:00-05:00,31,"2.65 x 164","2.66 x 223",2.65,1891,bid,501100,10181,12345,79.58%,-0.6805293285,AUTO,N/A,"11:29:33 ET",M
NOK,13.951,Put,16,2026-07-17T16:30:00-05:00,31,"2.55 x 216","2.65 x 2004",2.65,1710,ask,453100,10181,12345,79.58%,-0.6805293285,ISOI,N/A,"11:30:18 ET",M
NOK,14.04,Call,13,2026-07-17T16:30:00-05:00,31,"1.67 x 68","1.92 x 2",1.73,2250,mid,389200,5051,12856,81.78%,0.67389878879381,AUTO,N/A,"14:30:03 ET",M
NOK,13.95,Call,16,2027-01-15T16:30:00-06:00,213,"2.70 x 110","2.71 x 25",2.7,1215,bid,328000,1916,16202,80.40%,0.54136742962931,AUTO,N/A,"11:26:51 ET",M
NOK,13.94,Put,17,2026-07-17T16:30:00-05:00,31,"3.40 x 42","3.50 x 1000",3.5,902,ask,315700,10007,10509,78.02%,-0.7753568319,AUTO,N/A,"11:22:33 ET",M
NOK,13.95,Call,17,2026-10-16T16:30:00-05:00,122,"1.58 x 196","1.70 x 636",1.62,1699,mid,275200,2001,10722,81.43%,0.43312253201564,SLAN,N/A,"11:26:48 ET",M
NOK,13.81,Call,23,2026-09-18T16:30:00-05:00,94,"0.52 x 189","0.57 x 503",0.53,5000,mid,265000,5011,5318,90.03%,0.19097150529917,MLET,N/A,"12:54:14 ET",M
NOK,14.485,Call,21,2027-01-15T16:30:00-06:00,213,"1.94 x 340","1.95 x 1166",1.94,1166,bid,226200,4221,11421,83.36%,0.40377660526455,AUTO,N/A,"10:01:43 ET",M
NOK,13.95,Put,15,2026-07-17T16:30:00-05:00,31,"1.96 x 71","1.96 x 63",1.96,1043,ask,204400,10083,15184,78.98%,-0.5763243827,AUTO,N/A,"11:27:01 ET",M
NOK,13.94,Put,17,2026-07-17T16:30:00-05:00,31,"3.35 x 104","3.45 x 1134",3.39,600,mid,203400,10007,10509,78.02%,-0.7753568319,SLAN,N/A,"11:22:27 ET",M
NOK,13.951,Put,16,2026-07-17T16:30:00-05:00,31,"2.55 x 198","2.65 x 295",2.65,763,ask,202100,10181,12345,79.58%,-0.6805293285,ISOI,N/A,"11:30:21 ET",M
NOK,13.975,Call,14,2026-06-18T16:30:00-05:00,2,"0.36 x 73","0.39 x 56",0.4,5000,ask,200000,27343,75419,95.99%,0.5049471663221,MLFT,N/A,"14:53:54 ET",M
NOK,13.95,Call,15,2027-06-17T16:30:00-05:00,366,"4.00 x 10","4.15 x 828",4.02,497,mid,199700,1174,22559,79.05%,0.62794705166751,SLAN,N/A,"11:26:48 ET",M
NOK,13.975,Call,14,2026-06-18T16:30:00-05:00,2,"0.36 x 73","0.39 x 56",0.39,5000,ask,195000,27343,75419,95.99%,0.5049471663221,MLFT,N/A,"14:53:54 ET",M
NOK,13.951,Put,16,2026-07-17T16:30:00-05:00,31,"2.65 x 10","2.66 x 11",2.65,691,bid,183100,10181,12345,79.58%,-0.6805293285,AUTO,N/A,"11:29:36 ET",M
NOK,13.951,Put,16,2026-07-17T16:30:00-05:00,31,"2.55 x 277","2.65 x 14",2.65,670,ask,177500,10181,12345,79.58%,-0.6805293285,AUTO,N/A,"11:29:42 ET",M
NOK,13.995,Call,15,2026-07-17T16:30:00-05:00,31,"0.89 x 987","0.90 x 10",0.89,1987,bid,176800,13276,82619,78.87%,0.42963079560088,AUTO,N/A,"14:37:39 ET",M
NOK,13.89,Call,13,2026-07-17T16:30:00-05:00,31,"1.71 x 35","1.73 x 388",1.73,1014,ask,175400,2710,12856,76.72%,0.661753467376,AUTO,N/A,"12:05:47 ET",M
NOK,13.951,Put,16,2026-07-17T16:30:00-05:00,31,"2.55 x 54","2.69 x 544",2.65,647,mid,171400,10181,12345,79.58%,-0.6805293285,AUTO,N/A,"11:29:30 ET",M
NOK,14.485,Call,21,2027-01-15T16:30:00-06:00,213,"1.94 x 495","2.02 x 510",1.94,856,bid,166000,4221,11421,83.36%,0.40377660526455,AUTO,N/A,"10:01:51 ET",M
NOK,14.485,Call,21,2027-01-15T16:30:00-06:00,213,"1.94 x 190","1.95 x 763",1.94,810,bid,157100,4221,11421,83.36%,0.40377660526455,AUTO,N/A,"10:01:43 ET",M
NOK,13.95,Call,14,2026-09-18T16:30:00-05:00,94,"2.12 x 108","2.26 x 690",2.26,693,ask,156600,1767,18297,78.21%,0.58077464609439,AUTO,N/A,"11:26:50 ET",M
NOK,13.951,Put,16,2026-07-17T16:30:00-05:00,31,"2.55 x 218","2.66 x 441",2.65,565,mid,149700,10181,12345,79.58%,-0.6805293285,AUTO,N/A,"11:30:15 ET",M
NOK,13.89,Call,13,2026-07-17T16:30:00-05:00,31,"1.71 x 38","1.73 x 1442",1.73,862,ask,149100,2710,12856,76.72%,0.661753467376,ISOI,N/A,"12:05:41 ET",M
NOK,13.951,Put,16,2026-07-17T16:30:00-05:00,31,"2.65 x 104","2.66 x 12",2.65,548,bid,145200,10181,12345,79.58%,-0.6805293285,AUTO,N/A,"11:29:45 ET",M
NOK,14.485,Call,21,2027-01-15T16:30:00-06:00,213,"1.94 x 382","2.02 x 515",1.94,747,bid,144900,4221,11421,83.36%,0.40377660526455,AUTO,N/A,"10:01:52 ET",M
NOK,13.951,Put,16,2026-07-17T16:30:00-05:00,31,"2.64 x 39","2.65 x 26",2.65,538,ask,142500,10181,12345,79.58%,-0.6805293285,AUTO,N/A,"11:29:42 ET",M
NOK,13.875,Call,8,2026-06-18T16:30:00-05:00,2,"5.75 x 1091","6.05 x 763",5.93,240,mid,142300,250,11964,371.14%,0.98385743334403,MLAT,N/A,"12:47:11 ET",M
NOK,13.951,Put,16,2026-07-17T16:30:00-05:00,31,"2.55 x 229","2.65 x 125",2.65,523,ask,138500,10181,12345,79.58%,-0.6805293285,AUTO,N/A,"11:29:39 ET",M
NOK,13.955,Put,11,2026-10-16T16:30:00-05:00,122,"0.90 x 575","0.98 x 857",0.92,1500,mid,138000,1502,1940,75.36%,-0.2166056169,SLCN,N/A,"15:10:35 ET",M
NOK,14.165,Call,14,2026-10-16T16:30:00-05:00,122,"2.68 x 12","2.76 x 533",2.69,500,mid,134500,510,8170,80.31%,0.60743698604755,SLAN,N/A,"10:19:47 ET",M
NOK,14.065,Call,14,2026-07-17T16:30:00-05:00,31,"1.29 x 59","1.38 x 1551",1.34,1000,mid,134000,2916,31637,77.87%,0.55698507136318,SLAN,N/A,"15:31:47 ET",M
NOK,14.01,Call,10,2027-01-15T16:30:00-06:00,213,"5.25 x 680","5.35 x 456",5.25,253,bid,132800,443,72767,77.60%,0.80999636892561,AUTO,N/A,"11:10:04 ET",M
NOK,13.875,Call,8.5,2026-06-18T16:30:00-05:00,2,"5.30 x 45","5.60 x 44",5.44,240,mid,130500,240,6,410.79%,0.96108996219785,MLAT,ToOpen,"12:47:11 ET",M
NOK,14.065,Put,14,2026-07-17T16:30:00-05:00,31,"1.16 x 495","1.22 x 73",1.22,1000,ask,122000,2557,21311,76.39%,-0.4438834191,SLAN,N/A,"15:31:03 ET",M
NOK,13.95,Call,15,2026-10-16T16:30:00-05:00,122,"2.15 x 872","2.25 x 560",2.16,563,mid,121600,1055,20236,79.65%,0.5352995634133,SLAN,N/A,"11:26:48 ET",M
NOK,13.83,Call,10,2027-06-17T16:30:00-05:00,366,"5.90 x 232","5.95 x 200",5.95,200,ask,119000,428,22611,77.46%,0.79361846625673,AUTO,N/A,"12:29:20 ET",M
NOK,13.805,Call,8,2026-06-18T16:30:00-05:00,2,"5.75 x 352","6.00 x 861",5.9,200,mid,118000,450,11964,444.34%,0.9658518737534,MLAT,N/A,"13:08:07 ET",M
NOK,13.8598,Call,20,2027-01-15T16:30:00-06:00,213,"1.85 x 217","1.87 x 36",1.85,629,bid,116300,9833,117632,83.05%,0.40509759056362,AUTO,N/A,"12:14:40 ET",M
NOK,14.005,Call,15,2026-12-18T16:30:00-06:00,185,"2.80 x 199","2.88 x 1780",2.88,386,ask,111100,889,26823,80.29%,0.57317886177765,AUTO,N/A,"14:51:39 ET",M
NOK,14.37,Call,30,2027-01-15T16:30:00-06:00,213,"1.10 x 1000","1.10 x 10",1.1,1000,ask,110000,1044,95821,91.92%,0.24912414325822,AUTO,N/A,"09:39:03 ET",M
