Symbol,Price~,Type,Strike,Expires,DTE,"Bid x Size","Ask x Size",Trade,Size,Side,Premium,Volume,"Open Int",IV,Delta,Code,*,Time
RKLB,103.96,Call,150,2028-01-21T16:30:00-06:00,584,"36.00 x 358","37.50 x 2",37.5,250,ask,937500,548,2232,91.49%,0.62365489090318,SLFT,N/A,"10:20:33 ET"
RKLB,103.96,Call,150,2028-01-21T16:30:00-06:00,584,"37.00 x 248","37.50 x 45",37,248,bid,917600,548,2232,91.49%,0.62365489090318,AUTO,N/A,"10:21:34 ET"
RKLB,103.705,Call,150,2028-01-21T16:30:00-06:00,584,"36.50 x 249","37.30 x 286",36.5,249,bid,908800,799,2232,91.70%,0.62361458395944,AUTO,N/A,"10:31:55 ET"
RKLB,106.229,Call,175,2027-01-15T16:30:00-06:00,213,"14.50 x 32","16.10 x 664",14.5,500,bid,725000,501,503,97.79%,0.39540618075338,SLFT,N/A,"13:02:44 ET"
RKLB,105.79,Put,126,2026-07-02T16:30:00-05:00,16,"21.55 x 203","24.20 x 148",22.89,225,mid,515000,225,284,101.09%,-0.7635905275,MLAT,N/A,"11:49:43 ET"
RKLB,106.305,Call,130,2027-01-15T16:30:00-06:00,213,"23.55 x 79","24.05 x 125",23.55,207,bid,487400,514,2981,95.40%,0.54718370159951,MESL,N/A,"13:15:41 ET"
RKLB,105.79,Put,123,2026-07-02T16:30:00-05:00,16,"19.10 x 151","21.70 x 253",20.39,225,mid,458700,226,270,105.42%,-0.7153889699,MLAT,N/A,"11:49:43 ET"
RKLB,106.305,Put,90,2027-01-15T16:30:00-06:00,213,"19.35 x 89","19.85 x 284",19.35,207,bid,400500,474,961,95.20%,-0.2693221632,MESL,N/A,"13:15:41 ET"
RKLB,104.175,Call,190,2026-09-18T16:30:00-05:00,94,"4.50 x 70","4.55 x 443",4.5,773,bid,347800,840,185,103.95%,0.19556761193541,AUTO,SellToOpen,"09:54:16 ET"
RKLB,105.5,Put,100,2026-09-18T16:30:00-05:00,94,"16.65 x 196","17.65 x 51",17.47,186,mid,324900,300,608,98.30%,-0.3552814004,SLAN,N/A,"09:44:11 ET"
RKLB,106.305,Call,130,2027-01-15T16:30:00-06:00,213,"23.55 x 117","24.05 x 165",23.55,125,bid,294300,514,2981,95.40%,0.54718370159951,MESL,N/A,"13:15:41 ET"
RKLB,107.62,Call,105,2026-06-26T16:30:00-05:00,10,"8.60 x 758","9.20 x 293",9.2,293,ask,269500,829,4635,105.00%,0.59268203835306,AUTO,N/A,"09:34:42 ET"
RKLB,106.73,Call,110,2026-07-10T16:30:00-05:00,24,"8.55 x 65","8.80 x 300",8.8,300,ask,264000,747,220,94.03%,0.50210109217529,AUTO,N/A,"13:52:19 ET"
RKLB,106.33,Call,150,2026-10-16T16:30:00-05:00,122,"11.45 x 62","11.50 x 2",11.45,221,bid,253000,368,520,95.67%,0.37321067913025,AUTO,N/A,"13:29:47 ET"
RKLB,107.17,Call,108,2026-06-26T16:30:00-05:00,10,"6.15 x 69","6.30 x 399",6.3,399,ask,251300,1254,200,94.18%,0.51388801547261,AUTO,N/A,"14:35:06 ET"
RKLB,106.305,Put,90,2027-01-15T16:30:00-06:00,213,"19.35 x 212","19.45 x 5",19.35,125,bid,241800,474,961,95.20%,-0.2693221632,MESL,N/A,"13:15:41 ET"
RKLB,106.1,Call,115,2026-09-18T16:30:00-05:00,94,"17.80 x 31","18.25 x 1",17.8,134,bid,238500,547,238,95.73%,0.53846482966409,AUTO,N/A,"12:30:20 ET"
RKLB,107.03,Call,130,2026-07-17T16:30:00-05:00,31,"4.35 x 124","4.50 x 500",4.5,500,ask,225000,1982,9680,93.06%,0.28443907448777,AUTO,N/A,"14:53:47 ET"
RKLB,106.16,Call,130,2026-07-17T16:30:00-05:00,31,"4.30 x 209","4.45 x 500",4.45,500,ask,222500,1355,9680,94.69%,0.27932986977685,AUTO,N/A,"12:50:02 ET"
RKLB,106.115,Call,130,2026-07-17T16:30:00-05:00,31,"4.35 x 148","4.45 x 500",4.45,500,ask,222500,850,9680,95.53%,0.28137275243553,AUTO,N/A,"12:41:26 ET"
RKLB,104.92,Put,105,2026-07-17T16:30:00-05:00,31,"12.10 x 6","12.50 x 227",12.19,180,mid,219400,200,1104,98.64%,-0.4405912539,MLET,N/A,"10:06:05 ET"
RKLB,106.115,Call,110,2026-07-10T16:30:00-05:00,24,"8.40 x 168","8.80 x 300",8.6,250,mid,215000,273,220,93.62%,0.49208893854555,AUTO,ToOpen,"12:43:20 ET"
RKLB,105.5,Call,105,2026-06-26T16:30:00-05:00,10,"8.20 x 349","8.90 x 241",8.9,241,ask,214400,1077,4635,106.22%,0.5479910014664,AUTO,N/A,"09:41:46 ET"
RKLB,105.3025,Put,85,2026-07-24T16:30:00-05:00,38,"3.65 x 102","4.95 x 222",4.25,500,mid,212500,509,170,97.79%,-0.1983937501,SLFT,ToOpen,"11:02:52 ET"
RKLB,107.27,Put,90,2026-08-21T16:30:00-05:00,66,"8.25 x 28","8.35 x 5",8.35,235,ask,196200,1087,1773,95.32%,-0.2579727518,AUTO,N/A,"14:32:20 ET"
RKLB,104.755,Call,110,2026-06-26T16:30:00-05:00,10,"4.55 x 237","4.65 x 400",4.65,400,ask,186000,1349,2279,98.10%,0.4154147100329,AUTO,N/A,"15:52:27 ET"
RKLB,105.715,Call,115,2026-09-18T16:30:00-05:00,94,"17.50 x 14","18.00 x 241",17.5,106,bid,185500,252,238,97.52%,0.53841973970068,AUTO,N/A,"11:42:56 ET"
RKLB,105.475,Call,105,2026-06-26T16:30:00-05:00,10,"7.05 x 315","7.40 x 241",7.4,241,ask,178300,2081,4635,100.27%,0.54624343388935,AUTO,N/A,"10:39:46 ET"
RKLB,105.82,Call,105,2026-06-26T16:30:00-05:00,10,"7.25 x 35","7.50 x 236",7.5,236,ask,177000,2479,4635,104.39%,0.55455470595482,AUTO,N/A,"10:40:59 ET"
RKLB,104.97,Call,105,2026-06-26T16:30:00-05:00,10,"6.90 x 388","7.30 x 241",7.3,241,ask,175900,3067,4635,100.97%,0.53498230333826,AUTO,N/A,"11:10:02 ET"
RKLB,105.475,Call,105,2026-06-26T16:30:00-05:00,10,"6.70 x 354","7.50 x 15",7.2,241,mid,173500,2081,4635,100.27%,0.54624343388935,AUTO,N/A,"10:38:48 ET"
RKLB,103.96,Call,105,2026-06-26T16:30:00-05:00,10,"6.65 x 254","7.00 x 241",7,241,ask,168700,1567,4635,100.29%,0.51157581900093,AUTO,N/A,"10:21:00 ET"
RKLB,108.39,Call,105,2026-06-26T16:30:00-05:00,10,"8.80 x 7","10.15 x 192",8.8,180,bid,158400,536,4635,99.74%,0.61067267263363,AUTO,N/A,"09:33:53 ET"
RKLB,106.195,Call,105,2026-06-26T16:30:00-05:00,10,"7.45 x 263","7.70 x 192",7.7,192,ask,147800,4301,4635,100.29%,0.56244555973394,AUTO,N/A,"11:37:45 ET"
RKLB,105.635,Call,105,2026-06-26T16:30:00-05:00,10,"7.05 x 261","7.40 x 197",7.4,197,ask,145700,3744,4635,99.37%,0.54971700544126,AUTO,N/A,"11:31:42 ET"
RKLB,104.97,Call,105,2026-06-26T16:30:00-05:00,10,"6.90 x 349","7.30 x 198",7.3,198,ask,144500,3067,4635,100.97%,0.53498230333826,AUTO,N/A,"11:10:16 ET"
RKLB,103.33,Call,100,2026-06-26T16:30:00-05:00,10,"9.25 x 63","9.95 x 358",9.6,150,mid,144000,162,240,102.59%,0.6116796369948,MLAT,N/A,"10:01:14 ET"
RKLB,105.335,Call,105,2026-06-26T16:30:00-05:00,10,"6.85 x 552","7.30 x 197",7.3,197,ask,143800,3542,4635,99.93%,0.54299200497393,AUTO,N/A,"11:16:51 ET"
RKLB,107,Call,115,2026-06-18T16:30:00-05:00,2,"1.42 x 1000","1.43 x 1",1.43,1000,ask,143000,22135,9177,130.98%,0.24406999910698,AUTO,N/A,"12:24:16 ET"
RKLB,103.33,Call,101,2026-06-26T16:30:00-05:00,10,"8.65 x 58","9.40 x 261",9.02,150,mid,135300,160,27,102.34%,0.58909971805186,MLAT,ToOpen,"10:01:14 ET"
RKLB,107.62,Call,120,2026-06-26T16:30:00-05:00,10,"2.85 x 99","3.20 x 51",3.03,441,mid,133600,1818,4846,106.02%,0.29904644833566,MLET,N/A,"09:38:37 ET"
RKLB,107.62,Call,120,2026-06-26T16:30:00-05:00,10,"2.76 x 122","3.00 x 1",2.93,441,mid,129200,1818,4846,106.02%,0.29904644833566,MLET,N/A,"09:38:27 ET"
RKLB,107.185,Call,108,2026-06-26T16:30:00-05:00,10,"6.15 x 233","6.60 x 54",6.4,200,mid,128000,1454,200,95.48%,0.51490657646724,AUTO,N/A,"14:38:52 ET"
