Symbol,Price~,Type,Strike,Expires,DTE,"Bid x Size","Ask x Size",Trade,Size,Side,Premium,Volume,"Open Int",IV,Delta,Code,*,Time
WDC,752.92,Put,650,2027-01-15T16:30:00-06:00,211,"147.90 x 1","152.75 x 166",152.35,400,mid,6094000,404,34,98.23%,-0.2771640447,TLFT,ToOpen,"15:31:51 ET"
WDC,746.4275,Call,350,2026-07-17T16:30:00-05:00,29,"395.50 x 2","404.00 x 7",398.7,99,mid,3947100,110,225,127.16%,0.98922134930775,MLET,N/A,"13:27:26 ET"
WDC,778.87,Call,640,2027-01-15T16:30:00-06:00,211,"293.00 x 3","301.30 x 1",297.24,100,mid,2972400,301,36,98.64%,0.74688280329865,MLET,N/A,"10:06:27 ET"
WDC,746.4275,Call,500,2026-08-21T16:30:00-05:00,64,"272.05 x 5","280.00 x 13",276.8,99,mid,2740300,126,440,105.24%,0.87363641560278,MLET,N/A,"13:27:26 ET"
WDC,790.75,Call,800,2027-01-15T16:30:00-06:00,211,"222.25 x 109","227.00 x 110",227,110,ask,2497000,132,196,98.22%,0.65024931271254,AUTO,N/A,"09:47:33 ET"
WDC,778.87,Call,580,2027-01-15T16:30:00-06:00,211,"324.00 x 20","331.15 x 9",327.57,62,mid,2030900,311,315,99.05%,0.78688788880088,MLET,N/A,"10:07:16 ET"
WDC,778.87,Call,640,2027-01-15T16:30:00-06:00,211,"294.10 x 8","301.25 x 3",297.67,62,mid,1845500,301,36,98.64%,0.74688280329865,MLET,N/A,"10:07:16 ET"
WDC,754.36,Call,560,2026-06-18T16:30:00-05:00,0,"187.80 x 21","194.95 x 165",195,87,ask,1696500,97,357,272.45%,0.98521099361795,AUTO,N/A,"15:40:48 ET"
WDC,778.87,Call,580,2027-01-15T16:30:00-06:00,211,"323.00 x 10","331.50 x 6",327.15,50,mid,1635700,311,315,99.05%,0.78688788880088,MLET,N/A,"10:06:27 ET"
WDC,778.87,Call,580,2027-01-15T16:30:00-06:00,211,"323.00 x 10","331.50 x 6",327.14,50,mid,1635700,311,315,99.05%,0.78688788880088,MLET,N/A,"10:06:27 ET"
WDC,778.87,Call,580,2027-01-15T16:30:00-06:00,211,"323.00 x 10","331.50 x 6",327.1,50,mid,1635500,311,315,99.05%,0.78688788880088,MLET,N/A,"10:06:27 ET"
WDC,778.87,Call,640,2027-01-15T16:30:00-06:00,211,"293.00 x 3","301.30 x 1",297.2,50,mid,1486000,301,36,98.64%,0.74688280329865,MLET,N/A,"10:06:27 ET"
WDC,787.635,Call,650,2026-07-17T16:30:00-05:00,29,"166.95 x 10","166.95 x 80",166.95,80,ask,1335600,86,396,99.40%,0.79831748535844,AUTO,N/A,"10:03:05 ET"
WDC,762,Call,800,2026-07-17T16:30:00-05:00,29,"67.65 x 20","72.50 x 135",69.49,178,mid,1236900,705,1835,98.42%,0.48939180576366,SLAN,N/A,"12:01:59 ET"
WDC,787.635,Put,790,2026-10-16T16:30:00-05:00,120,"168.75 x 4","176.45 x 3",171.5,70,mid,1200500,70,0,99.13%,-0.3845960055,SLFT,ToOpen,"10:00:52 ET"
WDC,788.77,Put,780,2027-01-15T16:30:00-06:00,211,"209.00 x 3","216.55 x 3",211,55,mid,1160500,58,4,96.81%,-0.3438090061,TLFT,ToOpen,"09:59:04 ET"
WDC,783.2332,Call,850,2027-01-15T16:30:00-06:00,211,"205.00 x 78","209.65 x 53",209.65,53,ask,1111100,71,265,96.42%,0.61168426734294,AUTO,N/A,"09:55:19 ET"
WDC,790.08,Call,715,2026-06-26T16:30:00-05:00,8,"88.00 x 16","96.95 x 2",92.38,120,mid,1108500,122,163,105.61%,0.76481496898937,MLET,N/A,"10:22:00 ET"
WDC,790.08,Call,717.5,2026-06-26T16:30:00-05:00,8,"86.00 x 4","95.10 x 3",90.63,120,mid,1087500,120,153,105.40%,0.75822921522543,MLET,N/A,"10:22:00 ET"
WDC,746.52,Call,575,2026-06-18T16:30:00-05:00,0,"173.50 x 61","173.50 x 33",173.5,61,ask,1058300,91,154,298.34%,0.96097454028897,AUTO,N/A,"15:11:16 ET"
WDC,747,Call,647.5,2026-06-18T16:30:00-05:00,0,"95.00 x 61","98.50 x 100",98.5,100,ask,985000,206,209,0.00%,0,AUTO,N/A,"14:41:34 ET"
WDC,788.77,Call,720,2026-09-18T16:30:00-05:00,92,"186.25 x 31","191.70 x 50",191.7,50,ask,958500,51,195,100.92%,0.67403939870872,AUTO,N/A,"09:59:36 ET"
WDC,746.4275,Call,650,2026-06-18T16:30:00-05:00,0,"93.25 x 18","101.95 x 44",96.32,99,mid,953500,167,427,0.00%,0,MLET,N/A,"13:27:26 ET"
WDC,776.785,Call,700,2026-06-18T16:30:00-05:00,0,"74.45 x 53","82.00 x 39",78.32,120,mid,939800,239,1612,117.13%,0.95925936628765,MLAT,N/A,"11:31:52 ET"
WDC,764.94,Call,760,2026-06-26T16:30:00-05:00,8,"43.25 x 110","49.20 x 192",46.22,200,mid,924400,233,236,98.46%,0.5488177873097,AUTO,N/A,"11:55:49 ET"
WDC,771.25,Call,720,2026-06-26T16:30:00-05:00,8,"69.30 x 50","78.30 x 13",74.11,120,mid,889300,155,107,97.86%,0.7096951327859,MLFT,N/A,"10:44:51 ET"
WDC,787.635,Call,640,2026-07-17T16:30:00-05:00,29,"169.00 x 28","171.45 x 50",171.45,50,ask,857200,102,188,99.69%,0.81305507037643,AUTO,N/A,"10:02:11 ET"
WDC,787.635,Call,640,2026-07-17T16:30:00-05:00,29,"174.75 x 100","178.45 x 1",174.75,49,bid,856200,102,188,99.69%,0.81305507037643,AUTO,N/A,"10:00:48 ET"
WDC,746.52,Call,800,2027-01-15T16:30:00-06:00,211,"202.50 x 91","207.00 x 120",207,40,ask,828000,198,196,98.57%,0.62189339796754,AUTO,N/A,"15:10:04 ET"
WDC,788.77,Call,790,2026-08-21T16:30:00-05:00,64,"128.30 x 44","135.45 x 84",132.12,60,mid,792700,73,60,101.45%,0.58848434991142,MLET,N/A,"09:59:13 ET"
WDC,787.635,Call,800,2026-07-17T16:30:00-05:00,29,"78.80 x 100","81.90 x 72",78.8,100,bid,788000,358,1835,97.14%,0.53596594851937,AUTO,N/A,"10:01:58 ET"
WDC,771.25,Call,740,2026-06-26T16:30:00-05:00,8,"60.10 x 4","66.00 x 7",62.72,120,mid,752600,138,75,101.00%,0.63931543295746,MLFT,ToOpen,"10:44:51 ET"
WDC,747.99,Call,647.5,2026-06-18T16:30:00-05:00,0,"98.05 x 2","101.00 x 72",101,72,ask,727200,100,209,97.54%,0.99796461303786,AUTO,N/A,"13:23:35 ET"
WDC,788.77,Call,820,2026-08-21T16:30:00-05:00,64,"117.00 x 22","124.05 x 86",120.32,60,mid,721900,81,548,101.42%,0.55402434661349,MLET,N/A,"09:59:13 ET"
WDC,787.635,Call,800,2026-07-17T16:30:00-05:00,29,"77.00 x 17","84.70 x 14",81.05,89,mid,721300,358,1835,97.14%,0.53596594851937,AUTO,N/A,"10:03:52 ET"
WDC,741.5,Put,742.5,2026-06-26T16:30:00-05:00,8,"41.00 x 1","46.00 x 151",46,150,ask,690000,250,9,96.65%,-0.4734915584,AUTO,BuyToOpen,"13:04:20 ET"
WDC,783.365,Put,700,2026-11-20T16:30:00-06:00,155,"147.60 x 45","149.70 x 31",147.6,45,bid,664200,200,100,100.15%,-0.3029227475,AUTO,N/A,"10:15:47 ET"
